"FPN","WRK","RES","Lower","Mean","Upper"
"495312",49,32,15.39068691,15.7484980542857,16.52050148
"495315",78,26,1,14.8589743589744,29
"495316",117,59,31.23710733,31.5434212546154,31.93982751
"495317",57,22,8.206778003,12.9336281235088,18.19160444
"495318",77,31,27.28983652,28.06889416,28.65318739
"495319",75,50,10.37214915,11.6296146734667,21.495004
"495320",94,31,18.94166267,23.9488192285106,29.40105637
"495321",57,23,9.997046519,20.6932283615088,24.97104271
"495323",55,23,21.54946756,23.6758280069091,26.68717175
"495324",41,25,15.91731709,25.8083881331707,36.76109846
"495325",93,37,12.43338294,15.9812046309677,21.06859596
"495326",146,52,0,14.8450008943767,25.11028298
"495327",147,65,14.07727597,19.5462938169388,43.32618926
"495328",53,21,37.02663174,49.9295697032075,66.74262905
"495330",110,43,20.44567627,25.7014834852727,34.59706607
"495331",109,43,12.12569213,14.988843933945,21.54946756
"495332",27,17,7.43283788,21.7517708237037,30.38409018
"495333",110,61,0,12.7390133669091,21.35430737
"495334",102,47,23.50852046,43.2736517207843,65.03560508
"495336",97,41,20.28186492,21.9612988535052,24.97104271
"495337",117,56,8.697440979,11.3211994622308,17.55636295
"495338",85,39,9.582928333,14.4337336158471,20.7850955
"495339",111,54,11.3177576,14.2218168978378,18.19160444
"495340",93,35,17.41258913,25.2876919026882,37.56435649
"495342",75,31,27.51971282,32.0509879992,38.50585857
"495343",81,35,19.31249742,23.6180823912346,27.10194239
"495344",109,45,20.28186492,21.1419097158716,21.70473102
"495345",79,26,29.11104712,49.5636799059494,66.74262905
"495347",109,38,10.17594852,21.8525587686239,30.38409018
"495348",75,30,12.44554013,15.9661976292,22.83680901
"495349",102,40,16.71528077,17.3805529877451,18.06420431
"495350",91,36,12.97778029,19.641570419011,47.02237894
"495352",102,47,15.96499792,18.2901060773529,20.7850955
"495353",150,66,3.918396701,9.2287740444,18.94024486
"495354",78,56,9.677007176,12.4498276841154,23.33924409
"495355",72,40,8.685151725,13.2320643847917,21.35430737
"495356",129,55,10.60953166,16.6546331033333,22.83680901
"495357",60,30,13.8534365,16.0246141331667,22.57354962
"495358",96,39,5.139465117,7.64624447321875,11.98811196
"495359",140,74,16.1538382,21.274063895,27.10194239
"495360",52,21,23.50523363,23.6369149157692,23.77041537
"495361",101,45,8.157213263,18.1940912237822,40.70605799
"495362",166,64,12.89756808,17.0642958888554,23.4015622
"495363",111,54,15.08207437,16.5449656002703,19.33424158
"495364",70,35,41.46710914,48.396531436,57.99129287
"495365",54,25,13.10111947,20.5867656664815,29.9734672
"495366",26,19,5.437131741,19.4235406366154,33.23243665875
"495367",67,30,17.50230843,31.6424619897015,52.29753318
"495368",44,21,16.44911672,25.818770555,36.91009104
"495369",45,23,15.92704,26.0075626306667,38.50585857
"495370",123,54,21.76118835,24.7531571039024,29.57761424
"495371",117,52,1,11.1880341880342,22
"495372",205,85,27.28983652,28.0828156465366,28.65318739
"495373",53,29,14.63067557,17.7224897922642,22.57354962
"495374",33,19,16.51607519,18.7131190142424,20.7850955
"495375",97,39,10.80858051,19.1003358351546,28.43473708
"495377",111,48,9.785555404,15.0335367751351,21.76118835
"495378",113,48,10.07640536,18.261368049469,23.77041537
"495379",122,59,7.793391189,16.5133351519672,24.9519906
"495380",113,49,6.836425641,11.7944323866372,24.9519906
"495381",87,47,10.71538511,14.1424676831034,19.33424158
"495383",46,29,30.23898082,34.7073280284783,38.50585857
"495384",86,37,9.17344769,17.8378690755814,31.11776905
"495385",106,84,11.67070807,21.9833668770755,29.57761424
"495386",86,36,12.38189864,17.51684695,23.50523363
"495387",76,38,19.351614395,22.1646053517105,29.57761424
"495388",114,52,14.87676137,16.6263967961404,18.83337715
"495389",55,26,11.55308856,17.4636570056364,29.57761424
"495390",173,92,6.635554536,13.6505245565549,27.38289189
"495391",94,42,10.20663188,15.6572057343617,34.35810513
"495392",72,34,19.42419576,23.435293335,33.24616497
"495393",183,106,15.0967606,16.873452861694,21.56213766
"495394",111,48,10.18218364,11.8901944612613,16.29908053
"495395",29,24,31.90502401,34.3797979696552,36.83652901
"495396",140,61,6.1286467,15.4319859735571,25.49706196
"495397",45,26,8.5436156485,20.3896374221111,38.50585857
"495398",54,23,10.24176205,17.8039335375926,25.9809028135
"495399",77,29,18.055401,21.7155145423377,28.65318739
"495400",44,27,22.91642528,24.8722276477273,27.10194239
"495401",81,34,7.264857678,13.3633137088025,24.23383378
"495402",18,14,15.92704,23.2560237494444,34.35810513
"495403",88,49,19.4119429,21.1787582096591,24.46752113
"495404",30,18,12.38189864,17.2969008336667,21.06859596
"495405",22,11,17.40985077,21.9244941009091,32.81200505075
"495406",50,28,5.804366926,14.55035600208,22.57354962
"495407",82,38,10.83278453875,18.4866823189024,24.16592537
"495408",26,16,18.55077054,24.0096891523077,27.30050048
"495409",114,50,5.163562116,11.2829992790088,29.9734672
"495410",45,29,10.21492643,15.6153225515333,30.727948336
"495411",72,32,8.179960706,16.2213685167083,28.65318739
"495412",86,36,18.65134496,19.6934091772093,20.7850955
"495413",157,63,9.258232857,15.097498050051,21.56213766
"495415",18,13,13.6255118515,18.3114862611111,30.53182276675
"495416",42,26,14.23737103,16.71271907,23.16701311
"495417",111,45,16.90706005,17.0472546416216,17.14552398
"495418",113,56,12.42597414,23.0354927476991,34.59706607
"495419",40,25,6.947811193,14.116972342425,22.07940242
"495420",110,49,7.927166319,16.2242334700727,21.70473102
"495421",114,54,12.88218754,17.5303377090351,27.30050048
"495422",70,26,25.28263387,40.9907690048571,61.15416725
"495423",147,57,15.89683645,20.5643962205442,38.26786375
"495424",113,54,9.727815729,15.0040814675575,18.59960413
"495425",46,27,7.492722815,9.1947499383913,10.69056127
"495426",168,82,12.50119059,19.971775393869,27.30050048
"49A007",28,17,10.25852759755,16.9250882072857,27.10194239
"49A022",33,39,6.093677179,16.1716827223636,23.4015622
"49E004",81,38,8.402202738,12.2797457896049,19.33424158
"49E050",39,22,18.61126191,24.3393090046154,28.56161225
"49E075",68,35,29.57761424,30.6197671532353,31.93982751
"49E076",42,25,16.37138164,19.137206377619,22.57354962
"49E084",129,71,6.3198724248,16.375994796155,36.085778266
"49E131",21,14,14.27055171,18.3602041157143,21.54946756
"49E256",30,14,13.68053807,21.6445619053333,35.110219855
