"FPN","WRK","RES","ProbLower","ProbMean","ProbUpper","EstLower","EstMean","EstUpper","Order","PerLoss"
"495167",3,3,0.82027663723,0.82810430792,0.83265541302,2,2,2,1,33
"495181",10,10,0.544215522125,0.668259257133333,0.7228557089375,5,7,7,2,30
"495214",11,16,0.75211198955,0.77876417594,0.7969515684,8,9,9,3,18
"495405",11,22,0.6495094610675,0.773262967033333,0.824529369405,7,9,9,4,18
"495328",21,53,0.34132504568,0.48046542404,0.62238009643,7,10,13,5,52
"495402",14,18,0.6614354989275,0.74230231155,0.84008323883,9,10,12,6,29
"495415",13,18,0.691777659425,0.810185919245455,0.86390845255,9,11,11,7,15
"49E256",14,30,0.63195184795,0.7818530402,0.86640742463,9,11,12,8,21
"495160",24,38,0.339137211635,0.5032314035,0.69707596197,8,12,17,9,50
"495225",15,21,0.7563323358,0.821829473642857,0.85952893419,11,12,13,10,20
"495264",21,55,0.5143365229625,0.58206592765,0.6328177758225,11,12,13,11,43
"495408",16,26,0.72906141488,0.769936892866667,0.81218384931,12,12,13,12,25
"49E131",14,21,0.7871192718375,0.823501239125,0.855460936105,11,12,12,13,14
"495268",20,59,0.42881662422,0.644498895866667,0.7747445306,9,13,15,14,35
"495332",17,27,0.7098587717575,0.7914699291875,0.90284364022,12,13,15,15,24
"495345",26,79,0.343512879725,0.5046608963,0.68920025075,9,13,18,16,50
"495220",18,50,0.7505318204475,0.757364586225,0.76327407006,14,14,14,17,22
"495254",16,25,0.78795669,0.849416859871111,0.921540511016,13,14,15,18,12
"495303",24,53,0.5331424256875,0.58481719545,0.6539738437,13,14,16,19,42
"495311",17,71,0.724546149975,0.821650990745455,0.8796254413,12,14,15,20,18
"49A007",17,28,0.75234891101,0.839865528873846,0.900042347322,13,14,15,21,18
"495166",19,52,0.71369742129,0.785128354554,0.895567460023,14,15,17,22,21
"495200",23,57,0.6452907028,0.6452907028,0.6452907028,15,15,15,23,35
"495269",18,26,0.682041319475,0.858901697688,0.99486532083675,12,15,18,24,17
"495366",19,26,0.63457930466,0.798173058366111,0.91725437346675,12,15,17,25,21
"495368",21,44,0.62384120842,0.732819615592,0.84858794568,13,15,18,26,29
"495404",18,30,0.79143943432,0.83057597154,0.87302421126,14,15,16,27,17
"495422",26,70,0.40203298689,0.57784251498,0.73515614304,10,15,19,28,42
"495309",22,53,0.626776314835,0.736942257379167,0.824204121475,14,16,18,29,27
"495360",21,52,0.76234872326,0.7635322985,0.76486794979,16,16,16,30,24
"495374",19,33,0.79367875933,0.816577208233333,0.834234452275,15,16,16,31,16
"495395",24,29,0.6317289980875,0.653819785983333,0.6808158288125,15,16,16,32,33
"495189",24,55,0.6177340074775,0.6975240068,0.8599585675025,15,17,21,33,29
"495213",22,56,0.6478344397625,0.7728055693375,0.86685093696,14,17,19,34,23
"495230",20,55,0.6597951266075,0.851352618224167,0.93905679595275,13,17,19,35,15
"495301",23,56,0.68928841979,0.75534729824,0.80582829845,16,17,19,36,26
"495369",23,45,0.6207418368625,0.74077257495,0.84026791345,14,17,19,37,26
"49E050",22,39,0.7169723744525,0.766060464825,0.811876334635,16,17,18,38,23
"495226",21,49,0.8081985046625,0.83806254235,0.877798462125,17,18,18,39,14
"495242",21,55,0.75892401456,0.855922015375882,0.91394075793,16,18,19,40,14
"495315",26,78,0.7042238576,0.7042238576,0.7042238576,18,18,18,41,31
"495321",23,57,0.7505318204475,0.7946475802525,0.89063369518175,17,18,20,42,22
"495323",23,55,0.73505346387,0.7630885056,0.783861653675,17,18,18,43,22
"495324",25,41,0.63609933716,0.736774073861538,0.82620006099,16,18,21,44,28
"495364",35,70,0.42237701696,0.506371384614286,0.580959245445,15,18,20,45,49
"495187",23,54,0.787808282085,0.819822423425,0.8349816488425,18,19,19,46,17
"495188",22,55,0.80705158092,0.84876302686,0.88218033122,18,19,19,47,14
"495191",23,52,0.77678242432,0.818211548766667,0.854191012595,18,19,20,48,17
"495197",24,48,0.706094981445,0.780096126725,0.8293007353075,17,19,20,49,21
"495262",24,56,0.77557177477,0.78698551396,0.7969515684,19,19,19,50,21
"495288",23,42,0.69240518604,0.829219689915263,0.9309347186315,16,19,21,51,17
"495302",23,77,0.73798880578,0.8154281222375,0.8652911559575,17,19,20,52,17
"495317",22,57,0.82136171872,0.868789515023333,0.917114994152,18,19,20,53,14
"495365",25,54,0.70252953986,0.7789274743,0.86891808288,18,19,22,54,24
"495383",29,46,0.61574873695,0.6478003737,0.694260240345,18,19,20,55,34
"495398",23,54,0.74083803447,0.822527220653333,0.89612371215,17,19,21,56,17
"495199",24,61,0.75208138552,0.84392820464,0.89060111794,18,20,21,57,17
"495397",26,45,0.622122368185,0.786496020573158,0.9123418814475,16,20,24,58,23
"495400",27,44,0.730215270135,0.751163593366667,0.76997768268,20,20,21,59,26
"49E076",25,42,0.775393219045,0.804276081875,0.8348576898075,19,20,21,60,20
"495034",28,45,0.7502895729,0.7502895729,0.7502895729,21,21,21,61,25
"495192",25,69,0.73585025202,0.824730988711,0.89835133621525,18,21,22,62,16
"495342",31,75,0.61791857422,0.668630602322222,0.72206656278,19,21,22,63,32
"495367",30,67,0.5266683324975,0.707892335071429,0.827199034465,16,21,25,64,30
"495389",26,55,0.7172649256,0.826112316845454,0.8844616717,19,21,23,65,19
"495318",31,77,0.7138089638175,0.72028488045,0.7267607970825,22,22,23,66,29
"495416",26,42,0.77475324089,0.8318507182375,0.8574016709525,20,22,22,67,15
"495419",25,40,0.78101640246,0.860013331013333,0.922435412246,20,22,23,68,12
